Year,Race,No,Driver,Car,Pos (race),Laps (race),Time/Retired,Points,Pos (qualifying),Q1,Q2,Q3,Pos (FP1),Time (FP1),Gap (FP1),Laps (FP1),Pos (FP2),Time (FP2),Gap (FP2),Laps (FP2),Pos (FP3),Time (FP3),Gap (FP3),Laps (FP3),Pos (Sprint),Laps (Sprint),Time/Retired (Sprint),Points (Sprint),Pos (Sprint Quali),SQ1,SQ2,SQ3,Laps (Sprint Quali),AvgAirTemp,AvgHumidity,AvgPressure,TotalRainfall,AvgTrackTemp,AvgWindDirection,AvgWindSpeed
2022,Azerbaijan,1,Max Verstappen VER,Red Bull Racing RBPT,1,51,1:34:05.941,25,3,1:42.722,1:42.227,1:41.706,3,1:45.810,+0.334s,25,3,1:43.580,+0.356s,18,3,1:43.449,+0.279s,14,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,11,Sergio Perez PER,Red Bull Racing RBPT,2,51,+20.823s,19,2,1:42.733,1:41.955,1:41.641,1,1:45.476,,21,2,1:43.472,+0.248s,22,1,1:43.170,,18,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,63,George Russell RUS,Mercedes,3,51,+45.995s,15,5,1:43.754,1:43.281,1:42.712,8,1:46.705,+1.229s,24,7,1:44.548,+1.324s,26,8,1:44.573,+1.403s,17,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,44,Lewis Hamilton HAM,Mercedes,4,51,+71.679s,12,7,1:43.939,1:43.182,1:42.924,6,1:46.667,+1.191s,21,12,1:44.874,+1.650s,25,12,1:44.845,+1.675s,19,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,10,Pierre Gasly GAS,AlphaTauri RBPT,5,51,+77.299s,10,6,1:43.268,1:43.129,1:42.845,9,1:46.830,+1.354s,25,6,1:44.315,+1.091s,26,7,1:44.491,+1.321s,21,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,6,51,+84.099s,8,9,1:43.279,1:43.268,1:43.091,14,1:47.970,+2.494s,22,11,1:44.781,+1.557s,27,10,1:44.689,+1.519s,18,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,14,Fernando Alonso ALO,Alpine Renault,7,51,+88.596s,6,10,1:44.083,1:43.360,1:43.173,5,1:46.571,+1.095s,22,4,1:44.142,+0.918s,22,11,1:44.842,+1.672s,14,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,3,Daniel Ricciardo RIC,McLaren Mercedes,8,51,+92.207s,4,12,1:44.437,1:43.574,,18,1:48.810,+3.334s,22,14,1:45.059,+1.835s,25,6,1:44.476,+1.306s,19,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,4,Lando Norris NOR,McLaren Mercedes,9,51,+92.556s,2,11,1:44.237,1:43.398,,11,1:47.691,+2.215s,19,10,1:44.771,+1.547s,23,5,1:44.418,+1.248s,13,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,31,Esteban Ocon OCO,Alpine Renault,10,51,+108.184s,1,13,1:43.903,1:43.585,,10,1:46.917,+1.441s,21,9,1:44.609,+1.385s,24,9,1:44.685,+1.515s,15,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,11,50,+1 lap,0,15,1:44.478,1:44.444,,15,1:48.078,+2.602s,22,15,1:45.115,+1.891s,25,19,1:45.574,+2.404s,17,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,23,Alexander Albon ALB,Williams Mercedes,12,50,+1 lap,0,17,1:44.719,,,17,1:48.419,+2.943s,22,18,1:46.397,+3.173s,13,17,1:45.479,+2.309s,17,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,22,Yuki Tsunoda TSU,AlphaTauri RBPT,13,50,+1 lap,0,8,1:43.595,1:43.376,1:43.056,7,1:46.696,+1.220s,25,8,1:44.567,+1.343s,24,16,1:44.964,+1.794s,20,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,47,Mick Schumacher MSC,Haas Ferrari,14,50,+1 lap,0,20,1:45.775,,,20,1:58.332,+12.856s,3,19,1:46.425,+3.201s,21,18,1:45.532,+2.362s,19,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,6,Nicholas Latifi LAT,Williams Mercedes,15,50,+1 lap,0,18,1:45.367,,,19,1:50.921,+5.445s,7,20,1:47.218,+3.994s,26,20,1:46.070,+2.900s,17,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,18,Lance Stroll STR,Aston Martin Aramco Mercedes,16,46,DNF,0,19,1:45.371,,,12,1:47.847,+2.371s,24,13,1:44.874,+1.650s,26,13,1:44.879,+1.709s,17,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,20,Kevin Magnussen MAG,Haas Ferrari,NC,31,DNF,0,16,1:44.643,,,13,1:47.946,+2.470s,24,17,1:45.588,+2.364s,26,15,1:44.919,+1.749s,17,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,NC,23,DNF,0,14,1:43.777,1:43.790,,16,1:48.222,+2.746s,24,16,1:45.264,+2.040s,24,14,1:44.913,+1.743s,18,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,16,Charles Leclerc LEC,Ferrari,NC,21,DNF,0,1,1:42.865,1:42.046,1:41.359,2,1:45.603,+0.127s,21,1,1:43.224,,24,2,1:43.240,+0.070s,19,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,Azerbaijan,55,Carlos Sainz SAI,Ferrari,NC,8,DNF,0,4,1:42.957,1:42.088,1:41.814,4,1:46.012,+0.536s,22,5,1:44.274,+1.050s,25,4,1:43.596,+0.426s,19,,,,,,,,,,25.44,59.49,1009.9,0,47.15,266.29,1.53
