Year,Race,No,Driver,Car,Pos (race),Laps (race),Time/Retired,Points,Pos (qualifying),Q1,Q2,Q3,Pos (FP1),Time (FP1),Gap (FP1),Laps (FP1),Pos (FP2),Time (FP2),Gap (FP2),Laps (FP2),Pos (FP3),Time (FP3),Gap (FP3),Laps (FP3),Pos (Sprint),Laps (Sprint),Time/Retired (Sprint),Points (Sprint),Pos (Sprint Quali),SQ1,SQ2,SQ3,Laps (Sprint Quali),AvgAirTemp,AvgHumidity,AvgPressure,TotalRainfall,AvgTrackTemp,AvgWindDirection,AvgWindSpeed
2022,Australia,16,Charles Leclerc LEC,Ferrari,1,58,1:27:46.548,26,1,1:18.881,1:18.606,1:17.868,2,1:20.377,+0.571s,21,1.0,1:18.978,,27.0,2,1:19.249,+0.132s,15,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,Australia,11,Sergio Perez PER,Red Bull Racing RBPT,2,58,+20.524s,18,3,1:18.834,1:18.340,1:18.240,3,1:20.399,+0.593s,20,5.0,1:19.658,+0.680s,20.0,3,1:19.265,+0.148s,17,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,Australia,63,George Russell RUS,Mercedes,3,58,+25.593s,15,6,1:19.405,1:19.076,1:18.933,12,1:21.457,+1.651s,26,11.0,1:20.212,+1.234s,25.0,11,1:20.096,+0.979s,16,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,Australia,44,Lewis Hamilton HAM,Mercedes,4,58,+28.543s,12,5,1:19.401,1:19.106,1:18.825,7,1:21.027,+1.221s,26,13.0,1:20.521,+1.543s,23.0,8,1:19.896,+0.779s,13,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,Australia,4,Lando Norris NOR,McLaren Mercedes,5,58,+53.303s,10,4,1:19.280,1:19.066,1:18.703,5,1:20.878,+1.072s,22,8.0,1:20.100,+1.122s,24.0,1,1:19.117,,12,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,Australia,3,Daniel Ricciardo RIC,McLaren Mercedes,6,58,+53.737s,8,7,1:19.665,1:19.130,1:19.032,8,1:21.155,+1.349s,23,10.0,1:20.203,+1.225s,24.0,6,1:19.693,+0.576s,14,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,Australia,31,Esteban Ocon OCO,Alpine Renault,7,58,+61.683s,6,8,1:19.605,1:19.136,1:19.061,6,1:21.004,+1.198s,27,6.0,1:19.842,+0.864s,25.0,13,1:20.205,+1.088s,14,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,Australia,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,8,58,+68.439s,4,12,1:19.251,1:19.410,,10,1:21.247,+1.441s,23,7.0,1:20.055,+1.077s,25.0,9,1:20.008,+0.891s,17,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,Australia,10,Pierre Gasly GAS,AlphaTauri RBPT,9,58,+76.221s,2,11,1:19.580,1:19.226,,14,1:21.701,+1.895s,26,9.0,1:20.142,+1.164s,27.0,12,1:20.133,+1.016s,14,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,Australia,23,Alexander Albon ALB,Williams Mercedes,10,58,+79.382s,1,NC,1:20.135,,,17,1:22.754,+2.948s,25,17.0,1:21.912,+2.934s,28.0,16,1:20.958,+1.841s,16,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,Australia,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,11,58,+81.695s,0,14,1:19.910,1:20.155,,15,1:21.821,+2.015s,21,15.0,1:21.063,+2.085s,23.0,15,1:20.836,+1.719s,16,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,Australia,18,Lance Stroll STR,Aston Martin Aramco Mercedes,12,58,+88.598s,0,NC,DNF,,,16,1:21.869,+2.063s,24,14.0,1:20.611,+1.633s,28.0,19,1:21.636,+2.519s,11,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,Australia,47,Mick Schumacher MSC,Haas Ferrari,13,57,+1 lap,0,15,1:20.104,1:20.465,,20,1:24.349,+4.543s,15,18.0,1:21.974,+2.996s,22.0,14,1:20.692,+1.575s,17,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,Australia,20,Kevin Magnussen MAG,Haas Ferrari,14,57,+1 lap,0,16,1:20.254,,,18,1:23.186,+3.380s,18,16.0,1:21.191,+2.213s,23.0,17,1:21.025,+1.908s,14,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,Australia,22,Yuki Tsunoda TSU,AlphaTauri RBPT,15,57,+1 lap,0,13,1:19.742,1:19.424,,11,1:21.289,+1.483s,26,12.0,1:20.424,+1.446s,30.0,10,1:20.071,+0.954s,12,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,Australia,6,Nicholas Latifi LAT,Williams Mercedes,16,57,+1 lap,0,18,1:21.372,,,19,1:23.924,+4.118s,25,19.0,1:22.307,+3.329s,24.0,18,1:21.050,+1.933s,14,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,Australia,14,Fernando Alonso ALO,Alpine Renault,17,57,+1 lap,0,10,1:19.192,1:18.815,DNF,9,1:21.229,+1.423s,21,4.0,1:19.537,+0.559s,22.0,4,1:19.275,+0.158s,15,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,Australia,1,Max Verstappen VER,Red Bull Racing RBPT,NC,38,DNF,0,2,1:18.580,1:18.611,1:18.154,4,1:20.626,+0.820s,22,2.0,1:19.223,+0.245s,22.0,7,1:19.809,+0.692s,16,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,Australia,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,NC,22,DNF,0,17,1:21.149,,,13,1:21.661,+1.855s,18,,,,,20,,,5,,,,,,,,,,26.7,43.65,1014.25,0,37.41,272.84,1.81
