Year,Race,No,Driver,Car,Pos (race),Laps (race),Time/Retired,Points,Pos (qualifying),Q1,Q2,Q3,Pos (FP1),Time (FP1),Gap (FP1),Laps (FP1),Pos (FP2),Time (FP2),Gap (FP2),Laps (FP2),Pos (FP3),Time (FP3),Gap (FP3),Laps (FP3),Pos (Sprint),Laps (Sprint),Time/Retired (Sprint),Points (Sprint),Pos (Sprint Quali),SQ1,SQ2,SQ3,Laps (Sprint Quali),AvgAirTemp,AvgHumidity,AvgPressure,TotalRainfall,AvgTrackTemp,AvgWindDirection,AvgWindSpeed
2022,Brazil,63,George Russell RUS,Mercedes,1,71,1:38:34.044,26,3,1:14.427,1:11.318,1:12.059,6,1:12.055,+0.202s,24,,,,,,,,,1,24,30:11.307,8,,,,,,23.01,76.08,922.16,0,46.05,161.44,1.44
2022,Brazil,44,Lewis Hamilton HAM,Mercedes,2,71,+1.529s,18,8,1:13.403,1:11.539,1:12.611,5,1:12.040,+0.187s,25,,,,,,,,,3,24,+4.492s,6,,,,,,23.01,76.08,922.16,0,46.05,161.44,1.44
2022,Brazil,55,Carlos Sainz SAI,Ferrari,3,71,+4.051s,15,5,1:14.680,1:10.890,1:12.357,4,1:12.039,+0.186s,30,,,,,,,,,2,24,+3.995s,7,,,,,,23.01,76.08,922.16,0,46.05,161.44,1.44
2022,Brazil,16,Charles Leclerc LEC,Ferrari,4,71,+8.441s,12,10,1:14.486,1:10.950,DNF,2,1:11.857,+0.004s,31,,,,,,,,,6,24,+13.133s,3,,,,,,23.01,76.08,922.16,0,46.05,161.44,1.44
2022,Brazil,14,Fernando Alonso ALO,Alpine Renault,5,71,+9.561s,10,7,1:13.542,1:11.394,1:12.504,11,1:12.554,+0.701s,25,,,,,,,,,18,24,+53.985s,0,,,,,,23.01,76.08,922.16,0,46.05,161.44,1.44
2022,Brazil,1,Max Verstappen VER,Red Bull Racing RBPT,6,71,+10.056s,8,2,1:13.625,1:10.881,1:11.877,3,1:11.861,+0.008s,28,,,,,,,,,4,24,+10.494s,5,,,,,,23.01,76.08,922.16,0,46.05,161.44,1.44
2022,Brazil,11,Sergio Perez PER,Red Bull Racing RBPT,7,71,+14.080s,6,9,1:13.613,1:11.456,1:15.601,1,1:11.853,,29,,,,,,,,,5,24,+11.855s,4,,,,,,23.01,76.08,922.16,0,46.05,161.44,1.44
2022,Brazil,31,Esteban Ocon OCO,Alpine Renault,8,71,+18.690s,4,6,1:14.663,1:11.587,1:12.425,13,1:12.705,+0.852s,30,,,,,,,,,17,24,+51.756s,0,,,,,,23.01,76.08,922.16,0,46.05,161.44,1.44
2022,Brazil,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,9,71,+22.552s,2,18,1:15.486,,,9,1:12.466,+0.613s,31,,,,,,,,,14,24,+42.338s,0,,,,,,23.01,76.08,922.16,0,46.05,161.44,1.44
2022,Brazil,18,Lance Stroll STR,Aston Martin Aramco Mercedes,10,71,+23.552s,1,15,1:14.398,1:12.210,,14,1:12.759,+0.906s,26,,,,,,,,,16,24,+50.700s,0,,,,,,23.01,76.08,922.16,0,46.05,161.44,1.44
2022,Brazil,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,11,71,+26.183s,0,13,1:13.597,1:11.678,,7,1:12.157,+0.304s,30,,,,,,,,,9,24,+30.218s,0,,,,,,23.01,76.08,922.16,0,46.05,161.44,1.44
2022,Brazil,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,12,71,+29.325s,0,17,1:15.197,,,18,1:13.115,+1.262s,30,,,,,,,,,13,24,+41.763s,0,,,,,,23.01,76.08,922.16,0,46.05,161.44,1.44
2022,Brazil,47,Mick Schumacher MSC,Haas Ferrari,13,71,+29.899s,0,20,1:16.361,,,8,1:12.314,+0.461s,27,,,,,,,,,12,24,+41.159s,0,,,,,,23.01,76.08,922.16,0,46.05,161.44,1.44
2022,Brazil,10,Pierre Gasly GAS,AlphaTauri RBPT,14,71,+31.867s,0,12,1:14.371,1:11.675,,10,1:12.467,+0.614s,32,,,,,,,,,10,24,+34.170s,0,,,,,,23.01,76.08,922.16,0,46.05,161.44,1.44
2022,Brazil,23,Alexander Albon ALB,Williams Mercedes,15,71,+36.016s,0,11,1:14.324,1:11.631,,12,1:12.633,+0.780s,29,,,,,,,,,NC,12,DNF,0,,,,,,23.01,76.08,922.16,0,46.05,161.44,1.44
2022,Brazil,6,Nicholas Latifi LAT,Williams Mercedes,16,71,+37.038s,0,16,1:15.095,,,17,1:13.019,+1.166s,32,,,,,,,,,19,24,+76.850s,0,,,,,,23.01,76.08,922.16,0,46.05,161.44,1.44
